Channel_0,Average_0,Time,Time_Average,Channel_1,Average_1,Channel_3,Average_3,Blink,Don't Use,Blink_Averaged
-2991.983543,-2966.300154,0,0.074,-3543.811391,-3530.0983,-2512.242266,-2450.8548,0,0,0
-2963.67998,-2964.142317,0.013,0.1248,-3524.072199,-3521.482406,-2463.642266,-2441.108621,0,0,0
-2967.05711,-2894.716599,0.013,0.173,-3511.794108,-3454.438628,-2376.184706,-2426.867082,0,0,0
-2987.843474,-2886.573715,0.03,0.2286,-3544.099363,-3445.331972,-2468.223644,-2416.267084,0,0,0
-2981.410846,-2906.366387,0.03,0.2748,-3540.236047,-3457.393897,-2514.650762,-2415.438322,0,0,0
-2944.026806,-2928.144947,0.031,0.323,-3510.559941,-3481.606757,-2388.444098,-2422.669044,0,0,0
-2970.737171,-2936.711187,0.031,0.3742,-3538.949521,-3484.814095,-2432.758172,-2422.788721,0,0,0
-2985.195624,-2942.044659,0.043,0.4248,-3553.527651,-3491.317033,-2519.250839,-2424.671013,0,0,0
-2961.08075,-2929.14537,0.043,0.473,-3520.332299,-3479.280166,-2424.579011,-2413.140153,0,0,0
-2958.575017,-2922.78193,0.059,0.5242,-3518.518448,-3478.966014,-2376.715772,-2412.579542,0,0,0
-2971.15978,-2912.609402,0.059,0.5746,-3532.673969,-3470.287202,-2507.006406,-2407.600613,0,0,0
-2960.070977,-2914.325268,0.059,0.6228,-3521.925497,-3466.962431,-2470.920112,-2405.131532,0,0,0
-2960.818957,-2914.264682,0.059,0.6738,-3534.831891,-3471.620476,-2384.146953,-2400.460023,0,0,0
-2994.362119,-2928.621784,0.073,0.7248,-3558.105289,-3482.767996,-2478.06332,-2412.177503,0,0,0
-2973.594455,-2926.924617,0.073,0.773,-3531.854931,-3485.937935,-2513.468953,-2409.174363,0,0,0
-2949.84983,-2837.791581,0.089,0.8242,-3522.834292,-3409.612935,-2395.318034,-2394.141836,0,0,0
-2970.875548,-2868.74449,0.089,0.8748,-3530.572145,-3444.089203,-2434.164375,-2400.596903,0,0,0
-2978.826575,-2885.500737,0.09,0.923,-3538.332438,-3459.35884,-2523.734979,-2410.217795,0,0,0
-2944.868283,-2883.615454,0.09,0.9742,-3511.3341,-3457.495248,-2425.0091,-2410.383473,0,0,0
-2961.922227,-2887.172847,0.103,1.0235,-3525.332545,-3461.998462,-2389.48005,-2408.410302,0,0,0
-2970.325782,-2896.39731,0.103,1.0745,-3520.12,-3468.120678,-2502.727961,-2410.769057,0,0,0
-2967.23,-2894.498189,0.119,1.1239,-3510.537501,-3468.621451,-2460.044483,-2406.295388,0,0,0
-2953.96746,-2901.32949,0.119,1.1736,-3514.247482,-3474.441857,-2364.460119,-2410.513995,0,0,0
-2976.00669,-2907.124091,0.12,1.2245,-3535.849144,-3471.931262,-2461.753617,-2410.291845,0,0,0
-2971.387914,-2903.526307,0.12,1.2739,-3522.811853,-3473.187495,-2495.502474,-2407.222883,0,0,0
-2939.875517,-2899.718715,0.133,1.3274,-3506.965897,-3470.029897,-2374.52793,-2408.633948,0,0,0
-2972.565982,-2894.592434,0.133,1.3745,-3532.9956,-3467.441512,-2421.441235,-2401.629115,0,0,0
-2972.767937,-2895.781722,0.149,1.4239,-3527.135177,-3463.757711,-2516.371116,-2404.476675,0,0,0
