Channel 1,Channel 2,Channel 3,Channel 4,Class,Timestamp,Class Description
357.0592,290.90924,352.0368,-544.0495,0.0,1.0,Nothing
2515.032,2049.078,2479.7402,-3833.151,0.0,2.0,Nothing
8434.09,6871.7314,8316.167,-12855.074,0.0,3.0,Nothing
18322.037,14928.745,18067.172,-27925.766,0.0,4.0,Nothing
29521.709,24055.854,29113.97,-44994.992,0.0,5.0,Nothing
37948.047,30925.12,37429.125,-57836.934,0.0,6.0,Nothing
40476.223,32990.457,39930.68,-61689.363,0.0,7.0,Nothing
36652.34,29881.266,36169.234,-55860.863,0.0,8.0,Nothing
28692.344,23401.865,28327.94,-43729.844,0.0,9.0,Nothing
19756.594,16126.245,19522.107,-30114.334,0.0,10.0,Nothing
12093.401,9885.957,11968.918,-18441.25,0.0,11.0,Nothing
6527.3945,5353.079,6482.3193,-9966.227,0.0,12.0,Nothing
2961.5127,2448.7688,2967.2915,-4539.488,0.0,13.0,Nothing
780.4481,671.86005,817.25824,-1221.4255,0.0,14.0,Nothing
-956.40234,-743.8049,-895.6187,1423.1237,0.0,15.0,Nothing
-3037.7805,-2440.656,-2949.5544,4597.1016,0.0,16.0,Nothing
-5597.2334,-4527.371,-5476.315,8503.365,0.0,17.0,Nothing
-8245.05,-6686.3457,-8091.1255,12546.101,0.0,18.0,Nothing
-10638.247,-8638.143,-10454.975,16200.642,0.0,19.0,Nothing
-12700.198,-10320.497,-12491.6875,19348.688,0.0,20.0,Nothing
-14393.542,-11703.141,-14164.409,21932.26,0.0,21.0,Nothing
-15632.994,-12716.535,-15389.624,23821.37,0.0,22.0,Nothing
-16480.594,-13410.852,-16229.135,25111.924,0.0,23.0,Nothing
-17168.975,-13975.105,-16912.492,26160.424,0.0,24.0,Nothing
-17837.018,-14522.159,-17576.23,27179.738,0.0,25.0,Nothing
-18410.744,-14991.877,-18146.633,28056.834,0.0,26.0,Nothing
-18799.672,-15310.926,-18533.88,28652.408,0.0,27.0,Nothing
-19043.098,-15511.6875,-18776.93,29025.059,0.0,28.0,Nothing
-19192.777,-15636.639,-18927.855,29253.578,0.0,29.0,Nothing
-19201.088,-15647.063,-18940.71,29266.113,0.0,30.0,Nothing
-19019.715,-15503.041,-18767.707,28989.17,0.0,31.0,Nothing
-18704.871,-15249.314,-18462.783,28507.863,0.0,32.0,Nothing
-18337.809,-14951.462,-18104.389,27945.756,0.0,33.0,Nothing
-17915.52,-14607.51,-17689.057,27298.71,0.0,34.0,Nothing
-17394.297,-14183.169,-17174.682,26501.25,0.0,35.0,Nothing
-16783.443,-13687.248,-16572.123,25569.168,0.0,36.0,Nothing
-16126.586,-13155.627,-15925.732,24570.219,0.0,37.0,Nothing
-15429.611,-12592.348,-15241.561,23513.121,0.0,38.0,Nothing
-14668.18,-11976.191,-14494.634,22358.857,0.0,39.0,Nothing
-13844.688,-11307.986,-13685.863,21108.857,0.0,40.0,Nothing
-12990.588,-10613.119,-12845.221,19809.59,0.0,41.0,Nothing
-12123.525,-9906.626,-11990.01,18487.463,0.0,42.0,Nothing
-11236.261,-9183.742,-11114.088,17132.096,0.0,43.0,Nothing
-10322.639,-8440.446,-10213.016,15735.758,0.0,44.0,Nothing
-9391.455,-7684.1616,-9296.726,14313.493,0.0,45.0,Nothing
-8456.05,-6925.096,-8378.355,12886.236,0.0,46.0,Nothing
-7522.6865,-6167.1313,-7462.639,11462.974,0.0,47.0,Nothing
-6589.026,-5407.4023,-6545.3203,10039.448,0.0,48.0,Nothing
-5651.812,-4643.2305,-5621.9937,8610.99,0.0,49.0,Nothing
-4717.9277,-3881.006,-4699.6343,7189.151,0.0,50.0,Nothing
-3801.7708,-3133.3503,-3793.728,5796.826,0.0,51.0,Nothing
-2906.9504,-2403.5562,-2909.2795,4439.5073,0.0,52.0,Nothing
-2023.1445,-1682.884,-2036.7932,3099.6545,0.0,53.0,Nothing
-1149.7832,-970.378,-1175.4617,1773.5616,0.0,54.0,Nothing
-305.70828,-281.3914,-343.35483,488.8125,0.0,55.0,Nothing
498.39725,374.88788,449.11206,-736.52246,0.0,56.0,Nothing
1277.6212,1010.4216,1216.7437,-1923.0417,0.0,57.0,Nothing
2043.9141,1635.127,1971.6194,-3088.6902,0.0,58.0,Nothing
2779.8625,2235.2864,2697.1719,-4208.6714,0.0,59.0,Nothing
3465.6104,2795.1838,3374.2295,-5254.449,0.0,60.0,Nothing
4112.385,3324.2065,4013.934,-6243.6377,0.0,61.0,Nothing
4739.943,3838.2454,4635.686,-7205.7515,0.0,62.0,Nothing
5338.155,4328.405,5229.1753,-8123.9326,0.0,63.0,Nothing
5884.648,4775.767,5771.6084,-8962.297,0.0,64.0,Nothing
6386.4956,5185.7993,6269.2515,-9730.639,0.0,65.0,Nothing
6867.234,5577.879,6745.328,-10465.456,0.0,66.0,Nothing
7322.02,5948.5176,7195.7007,-11160.957,0.0,67.0,Nothing
7724.9985,6276.9736,7595.232,-11778.789,0.0,68.0,Nothing
8076.356,6563.4717,7943.752,-12319.143,0.0,69.0,Nothing
8401.921,6829.0947,8266.173,-12820.62,0.0,70.0,Nothing
8706.371,7077.8125,8566.966,-13288.942,0.0,71.0,Nothing
8967.015,7291.3115,8824.106,-13687.435,0.0,72.0,Nothing
9178.4375,7465.237,9032.886,-14006.404,0.0,73.0,Nothing
9363.767,7618.25,9216.773,-14281.804,0.0,74.0,Nothing
9531.677,7757.03,9384.812,-14529.586,0.0,75.0,Nothing
9659.829,7862.975,9515.048,-14718.842,0.0,76.0,Nothing
9735.308,7925.342,9594.321,-14832.268,0.0,77.0,Nothing
9776.998,7959.551,9640.507,-14900.082,0.0,78.0,Nothing
9800.55,7978.5317,9668.23,-14945.777,0.0,79.0,Nothing
9792.739,7971.7075,9663.809,-14946.357,0.0,80.0,Nothing
9741.39,7929.4346,9615.031,-14879.518,0.0,81.0,Nothing
9662.792,7865.342,9538.294,-14767.934,0.0,82.0,Nothing
9575.046,7794.415,9451.93,-14639.6455,0.0,83.0,Nothing
9467.432,7707.932,9345.596,-14480.259,0.0,84.0,Nothing
9322.123,7591.249,9201.808,-14263.954,0.0,85.0,Nothing
9147.234,7450.798,9028.7705,-14002.525,0.0,86.0,Nothing
8961.706,7301.7593,8845.473,-13722.632,0.0,87.0,Nothing
8762.563,7141.437,8649.337,-13417.579,0.0,88.0,Nothing
8534.571,6957.2383,8425.612,-13063.65,0.0,89.0,Nothing
8281.6875,6752.3643,8178.1045,-12667.943,0.0,90.0,Nothing
8021.6846,6541.421,7923.832,-12258.893,0.0,91.0,Nothing
