Channel 1,Channel 2,Channel 3,Channel 4,Class,Timestamp,Class Description
242.54788,237.41989,241.85953,227.38055,7.0,1.0,Ring and pinky open
1708.398,1672.3158,1703.5924,1601.5511,0.0,2.0,Nothing
5729.3037,5608.4995,5713.391,5371.0,0.0,3.0,Nothing
12446.939,12185.107,12412.984,11668.607,0.0,4.0,Nothing
20056.105,19635.559,20002.766,18802.059,0.0,5.0,Nothing
25780.496,25242.357,25714.443,24168.555,0.0,6.0,Nothing
27496.418,26926.35,27429.984,25777.13,0.0,7.0,Nothing
24896.236,24385.727,24841.912,23339.451,0.0,8.0,Nothing
19486.92,19094.883,19452.176,18268.36,0.0,9.0,Nothing
13416.218,13155.701,13401.97,12577.339,0.0,10.0,Nothing
8211.355,8063.011,8214.078,7698.085,0.0,11.0,Nothing
4432.2896,4365.0537,4446.971,4155.48,0.0,12.0,Nothing
2012.7067,1997.1206,2034.7214,1887.2983,0.0,13.0,Nothing
533.5672,549.23944,559.71844,500.6486,0.0,14.0,Nothing
-645.37305,-605.1263,-616.2541,-604.684,0.0,15.0,Nothing
-2060.3376,-1990.7717,-2027.7992,-1931.3228,0.0,16.0,Nothing
-3801.4219,-3695.8772,-3764.7664,-3563.6348,0.0,17.0,Nothing
-5603.04,-5460.493,-5562.3633,-5252.6084,0.0,18.0,Nothing
-7231.601,-7055.9614,-7187.6626,-6779.2896,0.0,19.0,Nothing
-8634.45,-8430.698,-8588.119,-8094.348,0.0,20.0,Nothing
-9785.638,-9559.268,-9737.818,-9173.472,0.0,21.0,Nothing
-10627.258,-10384.987,-10579.012,-9962.406,0.0,22.0,Nothing
-11202.182,-10949.824,-11154.445,-10501.385,0.0,23.0,Nothing
-11669.274,-11409.257,-11622.515,-10939.357,0.0,24.0,Nothing
-12123.268,-11855.977,-12077.664,-11365.114,0.0,25.0,Nothing
-12513.708,-12240.56,-12469.555,-11731.33,0.0,26.0,Nothing
-12778.494,-12502.171,-12736.194,-11979.747,0.0,27.0,Nothing
-12943.726,-12666.305,-12903.523,-12134.796,0.0,28.0,Nothing
-13044.583,-12767.384,-13006.563,-12229.449,0.0,29.0,Nothing
-13049.202,-12774.225,-13013.519,-12233.845,0.0,30.0,Nothing
-12924.934,-12654.857,-12891.833,-12117.373,0.0,31.0,Nothing
-12709.671,-12446.356,-12679.337,-11915.573,0.0,32.0,Nothing
-12458.427,-12202.568,-12430.949,-11680.05,0.0,33.0,Nothing
-12169.331,-11921.668,-12144.844,-11409.061,0.0,34.0,Nothing
-11813.124,-11574.996,-11791.824,-11075.139,0.0,35.0,Nothing
-11396.767,-11169.324,-11378.756,-10684.759,0.0,36.0,Nothing
-10950.5205,-10734.258,-10935.735,-10266.291,0.0,37.0,Nothing
-10478.383,-10273.711,-10466.7,-9823.517,0.0,38.0,Nothing
-9962.902,-9770.637,-9954.26,-9340.125,0.0,39.0,Nothing
-9404.656,-9225.639,-9399.013,-8816.689,0.0,40.0,Nothing
-8824.586,-8659.232,-8821.8545,-8272.858,0.0,41.0,Nothing
-8234.742,-8083.2017,-8234.811,-7719.9204,0.0,42.0,Nothing
-7630.38,-7492.852,-7633.1553,-7153.38,0.0,43.0,Nothing
-7007.718,-6884.425,-7013.1313,-6569.634,0.0,44.0,Nothing
-6373.4727,-6264.4565,-6381.4565,-5974.9673,0.0,45.0,Nothing
-5737.236,-5642.329,-5747.7256,-5378.414,0.0,46.0,Nothing
-5102.9395,-5021.919,-5115.8853,-4783.708,0.0,47.0,Nothing
-4468.3286,-4401.0864,-4483.688,-4188.76,0.0,48.0,Nothing
-3831.3108,-3777.8389,-3848.9924,-3591.5889,0.0,49.0,Nothing
-3197.358,-3157.5469,-3217.1733,-2997.2837,0.0,50.0,Nothing
-2576.685,-2550.2034,-2598.3809,-2415.3916,0.0,51.0,Nothing
-1971.4336,-1957.9073,-1994.7882,-1847.919,0.0,52.0,Nothing
-1373.8776,-1373.0839,-1398.7461,-1287.6395,0.0,53.0,Nothing
-782.87244,-794.56525,-809.13513,-733.5078,0.0,54.0,Nothing
-210.79787,-234.41904,-238.31357,-197.1647,0.0,55.0,Nothing
334.78543,299.96545,306.13837,314.27243,0.0,56.0,Nothing
863.2569,817.7447,833.5352,809.59424,0.0,57.0,Nothing
1382.201,1326.3234,1351.4579,1295.9509,0.0,58.0,Nothing
1880.3379,1814.6562,1848.7172,1762.8333,0.0,59.0,Nothing
2345.3142,2270.633,2313.0317,2198.7068,0.0,60.0,Nothing
2785.2717,2702.1665,2752.5054,2611.1882,0.0,61.0,Nothing
3213.162,3121.863,3180.0164,3012.3533,0.0,62.0,Nothing
3621.3472,3522.2056,3587.932,3394.9873,0.0,63.0,Nothing
3994.1653,3887.886,3960.648,3744.4204,0.0,64.0,Nothing
4336.213,4223.4766,4302.758,4065.0142,0.0,65.0,Nothing
4663.467,4544.694,4630.1733,4371.7812,0.0,66.0,Nothing
4973.033,4848.7417,4939.9775,4661.999,0.0,67.0,Nothing
5247.952,5119.0107,5215.241,4919.7417,0.0,68.0,Nothing
5488.5474,5355.7607,5456.282,5145.279,0.0,69.0,Nothing
5711.914,5575.644,5680.14,5354.595,0.0,70.0,Nothing
5920.3906,5780.9106,5889.1646,5549.885,0.0,71.0,Nothing
6097.727,5955.7017,6067.214,5715.998,0.0,72.0,Nothing
6239.8403,6096.092,6210.276,5849.2017,0.0,73.0,Nothing
6362.741,6217.771,6334.305,5964.521,0.0,74.0,Nothing
6473.3574,6327.4766,6446.1323,6068.39,0.0,75.0,Nothing
6557.9033,6411.6514,6531.914,6147.812,0.0,76.0,Nothing
6608.7812,6462.8164,6584.023,6195.6343,0.0,77.0,Nothing
6639.3774,6494.074,6615.822,6224.42,0.0,78.0,Nothing
6659.903,6515.436,6637.535,6243.755,0.0,79.0,Nothing
6659.9663,6516.739,6638.8306,6243.885,0.0,80.0,Nothing
6629.6133,6488.2476,6609.798,6215.4717,0.0,81.0,Nothing
6578.809,6439.735,6560.391,6167.8774,0.0,82.0,Nothing
6519.8135,6383.2085,6502.8286,6112.604,0.0,83.0,Nothing
6446.2915,6312.4243,6430.741,6043.675,0.0,84.0,Nothing
6347.3623,6216.67,6333.214,5950.843,0.0,85.0,Nothing
6229.1924,6101.9688,6216.3813,5839.8896,0.0,86.0,Nothing
6104.412,5980.746,6092.8823,5722.715,0.0,87.0,Nothing
5970.3564,5850.4756,5960.12,5596.898,0.0,88.0,Nothing
5816.2856,5700.6826,5807.4253,5452.427,0.0,89.0,Nothing
5644.8066,5533.894,5637.406,5291.7554,0.0,90.0,Nothing
5467.8677,5361.74,5461.9556,5126.041,0.0,91.0,Nothing
5286.2134,5184.8916,5281.7793,4955.9165,0.0,92.0,Nothing
5090.4883,4994.169,5087.5063,4772.564,0.0,93.0,Nothing
4880.465,4789.363,4878.8804,4575.7446,0.0,94.0,Nothing
4666.447,4580.5713,4666.1553,4375.0977,0.0,95.0,Nothing
4451.6245,4370.915,4452.513,4173.5996,0.0,96.0,Nothing
4228.5425,4153.0806,4230.535,3964.2607,0.0,97.0,Nothing
3994.865,3924.7808,3997.9314,3744.93,0.0,98.0,Nothing
3758.6055,3693.8804,3762.7383,3523.184,0.0,99.0,Nothing
3524.3408,3464.893,3529.545,3303.3677,0.0,100.0,Nothing
3286.7075,3232.6028,3293.0022,3080.4836,0.0,101.0,Nothing
3042.1614,2993.5679,3049.5747,2851.2297,0.0,102.0,Nothing
2796.3772,2753.3633,2804.932,2620.948,0.0,103.0,Nothing
2554.5425,2517.0696,2564.2537,2394.5046,0.0,104.0,Nothing
2313.4844,2281.5496,2324.3494,2168.8772,0.0,105.0,Nothing
2069.4407,2043.0607,2081.4011,1940.4408,0.0,106.0,Nothing
1826.0957,1805.1473,1839.007,1712.5352,0.0,107.0,Nothing
1588.5806,1572.7896,1602.2358,1489.8875,0.0,108.0,Nothing
1355.4727,1344.5908,1369.6812,1271.157,0.0,109.0,Nothing
1123.064,1116.9625,1137.7129,1052.954,0.0,110.0,Nothing
893.0012,891.57446,908.0547,836.95825,0.0,111.0,Nothing
669.5456,672.6427,685.01215,627.2822,0.0,112.0,Nothing
452.57407,460.07315,468.48312,423.8635,0.0,113.0,Nothing
239.11711,250.96497,255.49414,223.88782,0.0,114.0,Nothing
29.643753,45.754784,46.47675,27.702154,0.0,115.0,Nothing
-172.47725,-152.30516,-155.25578,-161.64145,0.0,116.0,Nothing
-366.48505,-342.50165,-348.9772,-343.491,0.0,117.0,Nothing
-554.5043,-526.90106,-536.80255,-519.82697,0.0,118.0,Nothing
-736.8972,-705.82446,-719.0608,-690.93915,0.0,119.0,Nothing
-911.4126,-877.0582,-893.47644,-854.67957,0.0,120.0,Nothing
-1076.979,-1039.5612,-1058.9675,-1010.02106,0.0,121.0,Nothing
-1234.9297,-1194.6213,-1216.8602,-1158.1765,0.0,122.0,Nothing
-1386.0391,-1342.9503,-1367.9258,-1299.8214,0.0,123.0,Nothing
-1529.1085,-1483.3379,-1510.9705,-1433.8038,0.0,124.0,Nothing
-1663.1447,-1614.8198,-1645.0114,-1559.2179,0.0,125.0,Nothing
-1788.7705,-1738.059,-1770.681,-1676.7244,0.0,126.0,Nothing
-1906.7123,-1853.831,-1888.7078,-1787.0835,0.0,127.0,Nothing
