Timestamp,Video Label,Filename,Class Index
1750455055,Close Hand,Handclose2.mp4,1
1750455068,Prong Gesture (Close),Prongclose2.mp4,3
1750455081,OK Sign (Close),Okclose2.mp4,2
1750455095,Prong Gesture (Close),Prongclose2.mp4,3
1750455108,Close Hand,Handclose2.mp4,1
1750455121,OK Sign (Close),Okclose2.mp4,2
1750455135,Prong Gesture (Close),Prongclose2.mp4,3
1750455148,OK Sign (Close),Okclose2.mp4,2
1750455162,Close Hand,Handclose2.mp4,1
1750455175,OK Sign (Close),Okclose2.mp4,2
1750455189,Close Hand,Handclose2.mp4,1
1750455202,Prong Gesture (Close),Prongclose2.mp4,3
1750455216,Close Hand,Handclose2.mp4,1
1750455229,Prong Gesture (Close),Prongclose2.mp4,3
1750455235,break,break,15
1750455273,OK Sign (Close),Okclose2.mp4,2
1750455286,Close Hand,Handclose2.mp4,1
1750455299,Prong Gesture (Close),Prongclose2.mp4,3
1750455313,OK Sign (Close),Okclose2.mp4,2
1750455327,OK Sign (Close),Okclose2.mp4,2
1750455340,Close Hand,Handclose2.mp4,1
1750455354,Prong Gesture (Close),Prongclose2.mp4,3
1750455367,Close Hand,Handclose2.mp4,1
1750455380,Prong Gesture (Close),Prongclose2.mp4,3
1750455393,OK Sign (Close),Okclose2.mp4,2
1750455407,Close Hand,Handclose2.mp4,1
1750455420,OK Sign (Close),Okclose2.mp4,2
1750455434,Prong Gesture (Close),Prongclose2.mp4,3
1750455448,OK Sign (Close),Okclose2.mp4,2
1750455454,break,break,15
1750455492,Prong Gesture (Close),Prongclose2.mp4,3
1750455505,Close Hand,Handclose2.mp4,1
1750455518,Close Hand,Handclose2.mp4,1
1750455531,OK Sign (Close),Okclose2.mp4,2
1750455545,Prong Gesture (Close),Prongclose2.mp4,3
1750455558,OK Sign (Close),Okclose2.mp4,2
1750455572,Prong Gesture (Close),Prongclose2.mp4,3
1750455586,Close Hand,Handclose2.mp4,1
1750455599,OK Sign (Close),Okclose2.mp4,2
1750455613,Prong Gesture (Close),Prongclose2.mp4,3
1750455626,Close Hand,Handclose2.mp4,1
1750455639,OK Sign (Close),Okclose2.mp4,2
1750455653,Prong Gesture (Close),Prongclose2.mp4,3
1750455666,Close Hand,Handclose2.mp4,1
1750455672,break,break,15
1750455710,OK Sign (Close),Okclose2.mp4,2
1750455723,Prong Gesture (Close),Prongclose2.mp4,3
1750455737,Close Hand,Handclose2.mp4,1
1750455750,Prong Gesture (Close),Prongclose2.mp4,3
1750455763,OK Sign (Close),Okclose2.mp4,2
1750455777,Close Hand,Handclose2.mp4,1
1750455790,Prong Gesture (Close),Prongclose2.mp4,3
1750455803,OK Sign (Close),Okclose2.mp4,2
1750455817,Close Hand,Handclose2.mp4,1
1750455830,Close Hand,Handclose2.mp4,1
1750455843,OK Sign (Close),Okclose2.mp4,2
1750455857,Prong Gesture (Close),Prongclose2.mp4,3
1750455871,Prong Gesture (Close),Prongclose2.mp4,3
1750455884,OK Sign (Close),Okclose2.mp4,2
1750455890,break,break,15
1750455928,Close Hand,Handclose2.mp4,1
1750455941,Prong Gesture (Close),Prongclose2.mp4,3
1750455955,Close Hand,Handclose2.mp4,1
1750455968,OK Sign (Close),Okclose2.mp4,2
1750455982,Close Hand,Handclose2.mp4,1
1750455995,Prong Gesture (Close),Prongclose2.mp4,3
1750456008,OK Sign (Close),Okclose2.mp4,2
1750456022,OK Sign (Close),Okclose2.mp4,2
1750456036,Close Hand,Handclose2.mp4,1
1750456049,Prong Gesture (Close),Prongclose2.mp4,3
1750456062,OK Sign (Close),Okclose2.mp4,2
1750456076,Prong Gesture (Close),Prongclose2.mp4,3
1750456089,Close Hand,Handclose2.mp4,1
1750456102,Prong Gesture (Close),Prongclose2.mp4,3
