Order,Video Label,Filename,Class Index
1,Prong Gesture (Open),Prongopen2.mp4,6
2,OK Sign (Open),Okopen2.mp4,4
3,OK Sign (Close),Okclose2.mp4,3
4,Open Hand,Handopen2.mp4,2
5,Prong Gesture (Close),Prongclose2.mp4,5
6,Close Hand,Handclose2.mp4,1
7,Close Hand,Handclose2.mp4,1
8,Prong Gesture (Open),Prongopen2.mp4,6
9,Open Hand,Handopen2.mp4,2
10,OK Sign (Open),Okopen2.mp4,4
11,Prong Gesture (Close),Prongclose2.mp4,5
12,OK Sign (Close),Okclose2.mp4,3
13,OK Sign (Close),Okclose2.mp4,3
14,Prong Gesture (Close),Prongclose2.mp4,5
15,Close Hand,Handclose2.mp4,1
16,Open Hand,Handopen2.mp4,2
17,OK Sign (Open),Okopen2.mp4,4
18,Prong Gesture (Open),Prongopen2.mp4,6
19,Prong Gesture (Open),Prongopen2.mp4,6
20,Open Hand,Handopen2.mp4,2
21,OK Sign (Close),Okclose2.mp4,3
22,OK Sign (Open),Okopen2.mp4,4
23,Close Hand,Handclose2.mp4,1
24,Prong Gesture (Close),Prongclose2.mp4,5
25,Close Hand,Handclose2.mp4,1
26,Prong Gesture (Open),Prongopen2.mp4,6
27,OK Sign (Open),Okopen2.mp4,4
28,Prong Gesture (Close),Prongclose2.mp4,5
29,Open Hand,Handopen2.mp4,2
30,OK Sign (Close),Okclose2.mp4,3
31,Close Hand,Handclose2.mp4,1
32,OK Sign (Close),Okclose2.mp4,3
33,Open Hand,Handopen2.mp4,2
34,OK Sign (Open),Okopen2.mp4,4
35,Prong Gesture (Open),Prongopen2.mp4,6
36,Prong Gesture (Close),Prongclose2.mp4,5
37,Close Hand,Handclose2.mp4,1
38,OK Sign (Open),Okopen2.mp4,4
39,Open Hand,Handopen2.mp4,2
40,OK Sign (Close),Okclose2.mp4,3
41,Prong Gesture (Open),Prongopen2.mp4,6
42,Prong Gesture (Close),Prongclose2.mp4,5
43,Prong Gesture (Open),Prongopen2.mp4,6
44,Close Hand,Handclose2.mp4,1
45,OK Sign (Close),Okclose2.mp4,3
46,OK Sign (Open),Okopen2.mp4,4
47,Prong Gesture (Close),Prongclose2.mp4,5
48,Open Hand,Handopen2.mp4,2
49,Prong Gesture (Open),Prongopen2.mp4,6
50,Open Hand,Handopen2.mp4,2
51,OK Sign (Open),Okopen2.mp4,4
52,Close Hand,Handclose2.mp4,1
53,Prong Gesture (Close),Prongclose2.mp4,5
54,OK Sign (Close),Okclose2.mp4,3
55,Prong Gesture (Open),Prongopen2.mp4,6
56,OK Sign (Close),Okclose2.mp4,3
57,Close Hand,Handclose2.mp4,1
58,Prong Gesture (Close),Prongclose2.mp4,5
59,OK Sign (Open),Okopen2.mp4,4
60,Open Hand,Handopen2.mp4,2
61,OK Sign (Close),Okclose2.mp4,3
62,Close Hand,Handclose2.mp4,1
63,OK Sign (Open),Okopen2.mp4,4
64,Open Hand,Handopen2.mp4,2
65,Prong Gesture (Open),Prongopen2.mp4,6
66,Prong Gesture (Close),Prongclose2.mp4,5
67,Open Hand,Handopen2.mp4,2
68,Prong Gesture (Open),Prongopen2.mp4,6
69,OK Sign (Open),Okopen2.mp4,4
70,Prong Gesture (Close),Prongclose2.mp4,5
71,OK Sign (Close),Okclose2.mp4,3
72,Close Hand,Handclose2.mp4,1
73,Prong Gesture (Open),Prongopen2.mp4,6
74,OK Sign (Open),Okopen2.mp4,4
75,Open Hand,Handopen2.mp4,2
76,Prong Gesture (Close),Prongclose2.mp4,5
77,Close Hand,Handclose2.mp4,1
78,OK Sign (Close),Okclose2.mp4,3
79,Prong Gesture (Open),Prongopen2.mp4,6
80,Close Hand,Handclose2.mp4,1
81,Prong Gesture (Close),Prongclose2.mp4,5
82,OK Sign (Open),Okopen2.mp4,4
83,Open Hand,Handopen2.mp4,2
84,OK Sign (Close),Okclose2.mp4,3
85,Close Hand,Handclose2.mp4,1
86,Open Hand,Handopen2.mp4,2
87,Prong Gesture (Open),Prongopen2.mp4,6
88,OK Sign (Open),Okopen2.mp4,4
89,Prong Gesture (Close),Prongclose2.mp4,5
90,OK Sign (Close),Okclose2.mp4,3
91,Prong Gesture (Close),Prongclose2.mp4,5
92,OK Sign (Open),Okopen2.mp4,4
93,Prong Gesture (Open),Prongopen2.mp4,6
94,Close Hand,Handclose2.mp4,1
95,Open Hand,Handopen2.mp4,2
