Channel 1,Channel 2,Channel 3,Channel 4,Class,Timestamp,Class Description
346.13376,339.28397,343.26816,-310.09363,0.0,1.0,Nothing
2437.4858,2389.3074,2417.3713,-2184.4253,0.0,2.0,Nothing
8172.2827,8011.062,8105.157,-7324.3037,0.0,3.0,Nothing
17750.918,17401.691,17606.059,-15908.745,0.0,4.0,Nothing
28601.225,28040.672,28369.908,-25632.541,0.0,5.0,Nothing
36768.66,36051.887,36475.082,-32952.234,0.0,6.0,Nothing
39223.957,38465.336,38916.82,-35153.047,0.0,7.0,Nothing
35522.016,34843.527,35252.57,-31835.348,0.0,8.0,Nothing
27808.674,27288.74,27609.27,-24921.998,0.0,9.0,Nothing
19150.104,18805.912,19027.012,-17161.549,0.0,10.0,Nothing
11727.482,11533.026,11668.81,-10509.246,0.0,11.0,Nothing
6338.284,6252.0234,6325.7944,-5679.474,0.0,12.0,Nothing
2886.5125,2869.151,2903.1465,-2585.865,0.0,13.0,Nothing
776.04236,800.4238,810.04504,-694.4036,0.0,14.0,Nothing
-904.7501,-847.5079,-857.32526,811.6614,0.0,15.0,Nothing
-2921.9153,-2825.4683,-2858.5803,2619.0906,0.0,16.0,Nothing
-5405.7285,-5261.2017,-5322.9683,4844.8916,0.0,17.0,Nothing
-7976.97,-7783.056,-7874.5034,7149.0625,0.0,18.0,Nothing
-10301.053,-10063.093,-10181.411,9231.555,0.0,19.0,Nothing
-12302.671,-12027.491,-12168.994,11025.063,0.0,20.0,Nothing
-13945.497,-13640.623,-13801.168,12497.325,0.0,21.0,Nothing
-15147.11,-14821.6045,-14996.056,13574.402,0.0,22.0,Nothing
-15968.281,-15629.828,-15813.733,14310.446,0.0,23.0,Nothing
-16635.402,-16287.071,-16478.6,14908.258,0.0,24.0,Nothing
-17283.8,-16925.95,-17124.871,15489.236,0.0,25.0,Nothing
-17841.807,-17476.242,-17681.55,15989.219,0.0,26.0,Nothing
-18220.82,-17851.148,-18060.82,16328.808,0.0,27.0,Nothing
-18457.508,-18086.594,-18299.043,16540.908,0.0,28.0,Nothing
-18601.354,-18231.047,-18445.244,16669.9,0.0,29.0,Nothing
-18606.834,-18239.852,-18454.244,16674.889,0.0,30.0,Nothing
-18427.809,-18067.773,-18280.25,16514.39,0.0,31.0,Nothing
-18118.348,-17767.78,-17976.842,16236.819,0.0,32.0,Nothing
-17756.557,-17416.387,-17621.418,15912.205,0.0,33.0,Nothing
-17340.234,-17011.418,-17211.758,15538.629,0.0,34.0,Nothing
-16829.078,-16513.373,-16707.877,15080.042,0.0,35.0,Nothing
-16233.8,-15932.753,-16120.411,14546.143,0.0,36.0,Nothing
-15597.046,-15311.371,-15491.652,13975.235,0.0,37.0,Nothing
-14924.268,-14654.56,-14826.961,13372.262,0.0,38.0,Nothing
-14191.518,-13938.808,-14102.522,12715.811,0.0,39.0,Nothing
-13400.052,-13165.315,-13319.585,12007.033,0.0,40.0,Nothing
-12578.431,-12362.076,-12506.556,11271.438,0.0,41.0,Nothing
-11742.45,-11544.597,-11679.213,10523.0205,0.0,42.0,Nothing
-10885.579,-10706.46,-10831.149,9755.757,0.0,43.0,Nothing
-10003.0205,-9842.889,-9957.576,8965.194,0.0,44.0,Nothing
-9103.54,-8962.405,-9067.099,8159.071,0.0,45.0,Nothing
-8199.721,-8077.3696,-8172.123,7348.6953,0.0,46.0,Nothing
-7297.694,-7193.8984,-7278.708,6539.802,0.0,47.0,Nothing
-6395.433,-6310.0996,-6384.8384,5730.8726,0.0,48.0,Nothing
-5489.7256,-5422.8535,-5487.3115,4919.152,0.0,49.0,Nothing
-4587.4077,-4538.8496,-4592.8994,4110.715,0.0,50.0,Nothing
-3703.4673,-3672.775,-3716.5034,3318.9434,0.0,51.0,Nothing
-2842.311,-2828.9175,-2862.5293,2547.753,0.0,52.0,Nothing
-1992.9563,-1996.4093,-2020.0541,1787.1285,0.0,53.0,Nothing
-1152.5433,-1172.3429,-1186.182,1034.2413,0.0,54.0,Nothing
-338.38562,-373.70468,-378.09668,304.52878,0.0,55.0,Nothing
437.91788,387.99164,392.5852,-391.40863,0.0,56.0,Nothing
1189.7017,1125.663,1138.9532,-1065.2728,0.0,57.0,Nothing
1928.9023,1850.957,1872.7983,-1727.6838,0.0,58.0,Nothing
2639.7866,2548.5193,2578.596,-2364.5762,0.0,59.0,Nothing
3303.6384,3200.138,3237.932,-2959.2236,0.0,60.0,Nothing
3931.3108,3816.5593,3861.6758,-3521.4539,0.0,61.0,Nothing
4541.872,4416.471,4468.7163,-4068.4963,0.0,62.0,Nothing
5124.9272,4989.5728,5048.616,-4591.06,0.0,63.0,Nothing
5657.509,5513.2114,5578.4624,-5068.3965,0.0,64.0,Nothing
6145.697,5993.256,6064.204,-5505.779,0.0,65.0,Nothing
6613.0107,6452.768,6529.1636,-5924.3066,0.0,66.0,Nothing
7056.034,6888.4995,6970.02,-6321.0967,0.0,67.0,Nothing
7450.046,7276.3315,7362.3467,-6674.105,0.0,68.0,Nothing
7794.72,7615.993,7705.865,-6983.0312,0.0,69.0,Nothing
8114.722,7931.6196,8025.025,-7269.938,0.0,70.0,Nothing
8414.086,8227.056,8323.779,-7538.3613,0.0,71.0,Nothing
8669.488,8479.322,8578.947,-7767.265,0.0,72.0,Nothing
8874.502,8682.09,8784.135,-7950.839,0.0,73.0,Nothing
9052.0205,8857.861,8962.078,-8109.7446,0.0,74.0,Nothing
9212.342,9016.839,9123.052,-8253.426,0.0,75.0,Nothing
9335.558,9139.576,9247.3545,-8364.113,0.0,76.0,Nothing
9410.216,9214.844,9323.587,-8431.445,0.0,77.0,Nothing
9455.504,9261.376,9370.666,-8472.484,0.0,78.0,Nothing
9486.673,9294.033,9403.617,-8500.82,0.0,79.0,Nothing
9489.104,9298.421,9407.912,-8503.279,0.0,80.0,Nothing
9448.168,9260.18,9369.071,-8466.673,0.0,81.0,Nothing
9377.896,9193.063,9301.059,-8403.576,0.0,82.0,Nothing
9296.071,9114.536,9221.566,-8330.008,0.0,83.0,Nothing
9193.723,9015.818,9121.733,-8237.994,0.0,84.0,Nothing
9054.882,8881.283,8985.74,-8113.267,0.0,85.0,Nothing
8888.049,8719.306,8822.026,-7963.535,0.0,86.0,Nothing
8711.516,8547.853,8648.719,-7805.296,0.0,87.0,Nothing
8521.805,8363.511,8462.321,-7635.455,0.0,88.0,Nothing
8303.511,8151.137,8247.477,-7440.1387,0.0,89.0,Nothing
8060.2104,7914.1875,8007.668,-7222.4697,0.0,90.0,Nothing
7809.152,7669.516,7759.9775,-6997.8477,0.0,91.0,Nothing
7551.629,7418.36,7505.7065,-6767.3857,0.0,92.0,Nothing
7274.154,7147.5024,7231.5264,-6518.953,0.0,93.0,Nothing
6976.134,6856.394,6936.8975,-6252.0127,0.0,94.0,Nothing
6672.263,6559.485,6636.425,-5979.761,0.0,95.0,Nothing
6367.2354,6261.381,6334.751,-5706.3994,0.0,96.0,Nothing
6050.3354,5951.568,6021.2407,-5422.2993,0.0,97.0,Nothing
5718.0107,5626.602,5692.4277,-5124.365,0.0,98.0,Nothing
5381.639,5297.728,5359.6797,-4823.011,0.0,99.0,Nothing
5047.878,4971.518,5029.6113,-4524.366,0.0,100.0,Nothing
4709.215,4640.5264,4694.6753,-4221.623,0.0,101.0,Nothing
4360.73,4299.7705,4349.838,-3910.0967,0.0,102.0,Nothing
4010.7131,3957.2458,4003.2087,-3596.946,0.0,103.0,Nothing
3666.716,3620.3286,3662.275,-3288.8337,0.0,104.0,Nothing
3324.1475,3284.5835,3322.5793,-2981.7068,0.0,105.0,Nothing
2977.3696,2944.589,2978.662,-2670.6475,0.0,106.0,Nothing
2631.3474,2605.2964,2635.54,-2360.2449,0.0,107.0,Nothing
2293.2495,2273.781,2300.3599,-2057.056,0.0,108.0,Nothing
1961.0492,1948.0919,1971.1068,-1759.379,0.0,109.0,Nothing
1629.5576,1623.1523,1642.5726,-1462.6027,0.0,110.0,Nothing
1301.2656,1301.3601,1317.1042,-1168.868,0.0,111.0,Nothing
982.3791,988.744,1000.7504,-883.57166,0.0,112.0,Nothing
672.77454,685.1773,693.38367,-606.47296,0.0,113.0,Nothing
368.16882,386.48663,390.8486,-333.68585,0.0,114.0,Nothing
69.14939,93.23803,93.843056,-65.73096,0.0,115.0,Nothing
-219.5215,-189.96019,-192.84695,193.13258,0.0,116.0,Nothing
-496.7789,-462.11804,-468.17795,441.9376,0.0,117.0,Nothing
-765.6767,-726.2354,-735.2434,683.3587,0.0,118.0,Nothing
-1026.725,-982.7857,-994.62256,917.77423,0.0,119.0,Nothing
-1276.6827,-1228.5383,-1243.1255,1142.1992,0.0,120.0,Nothing
-1514.0098,-1461.9109,-1479.1809,1355.1785,0.0,121.0,Nothing
-1740.578,-1684.6984,-1704.5896,1558.3756,0.0,122.0,Nothing
-1957.4128,-1897.9219,-1920.3579,1752.7623,0.0,123.0,Nothing
-2162.7642,-2099.8813,-2124.757,1936.8042,0.0,124.0,Nothing
-2355.2844,-2289.224,-2316.422,2109.2717,0.0,125.0,Nothing
-2535.9688,-2466.8857,-2496.29,2271.0444,0.0,126.0,Nothing
-2705.9194,-2633.963,-2665.4338,2423.1624,0.0,127.0,Nothing
-2864.4875,-2789.9146,-2823.2634,2565.1545,0.0,128.0,Nothing
-3010.6375,-2933.8403,-2968.8542,2696.201,0.0,129.0,Nothing
-3144.534,-3065.9595,-3102.4382,2816.4702,0.0,130.0,Nothing
-3266.8887,-3186.9353,-3224.7031,2926.5176,0.0,131.0,Nothing
-3377.74,-3296.7188,-3335.618,3026.2744,0.0,132.0,Nothing
-3476.5464,-3394.6985,-3434.5935,3115.2148,0.0,133.0,Nothing
-3562.9692,-3480.5032,-3521.284,3193.0598,0.0,134.0,Nothing
