Channel 1,Channel 2,Channel 3,Channel 4,Class
-775.87890625,-379.39453125,-729.00390625,-908.69140625,0
265.625,-92.7734375,-920.8984375,-1000.0,0
-1000.0,-222.16796875,-138.18359375,314.453125,0
-324.70703125,-576.171875,242.1875,857.421875,0
-819.82421875,-475.09765625,-529.296875,-474.12109375,0
560.546875,-137.6953125,-993.65234375,-1000.0,0
-1000.0,-158.69140625,-313.96484375,-55.6640625,0
-789.55078125,-522.94921875,397.4609375,-855.46875,0
764.6484375,-557.12890625,-185.05859375,45.41015625,0
-923.33984375,-231.4453125,-1000.0,-1000.0,0
-368.65234375,-105.46875,-603.515625,-449.70703125,0
-1000.0,-421.38671875,217.28515625,-998.53515625,0
109.86328125,-602.5390625,-63.4765625,303.7109375,0
-747.0703125,-312.98828125,-905.76171875,-1000.0,0
165.0390625,-111.81640625,-796.38671875,-746.58203125,0
-1000.0,-287.59765625,61.5234375,568.84765625,0
-225.09765625,-601.07421875,176.7578125,702.63671875,0
-776.3671875,-428.7109375,-675.29296875,-725.5859375,0
275.390625,-106.4453125,-858.3984375,-898.92578125,0
-1000.0,-249.0234375,-38.0859375,467.7734375,0
-384.27734375,-608.3984375,263.671875,905.76171875,0
-852.5390625,-504.39453125,-497.0703125,-340.8203125,0
629.8828125,-171.38671875,-1000.0,-1000.0,0
-948.2421875,-107.91015625,-442.87109375,-314.94140625,0
-880.37109375,-465.8203125,227.05078125,959.47265625,0
637.6953125,-556.640625,-229.00390625,22.4609375,0
-867.67578125,-235.83984375,-974.12109375,-1000.0,0
-258.30078125,-94.23828125,-667.96875,-629.8828125,0
-1000.0,-338.8671875,133.7890625,736.328125,0
-11.23046875,-631.34765625,68.84765625,626.953125,0
-756.8359375,-389.16015625,-691.40625,-798.828125,0
207.03125,-79.58984375,-788.0859375,-938.4765625,0
-1000.0,-229.98046875,-58.10546875,381.34765625,0
-229.98046875,-590.8203125,188.96484375,853.02734375,0
-778.3203125,-487.3046875,-586.9140625,-458.984375,0
314.94140625,-142.578125,-969.23828125,-1000.0,0
-1000.0,-138.18359375,-279.296875,-40.52734375,0
-508.30078125,-530.76171875,271.484375,-982.421875,0
-921.875,-568.359375,-357.421875,-90.8203125,0
723.14453125,-211.9140625,-1000.0,-1000.0,0
-836.9140625,-81.54296875,-522.94921875,-448.73046875,0
-1000.0,-384.27734375,295.41015625,977.05078125,0
413.57421875,-595.21484375,-30.76171875,341.30859375,0
-810.546875,-321.2890625,-934.5703125,-1000.0,0
-152.83203125,-85.44921875,-745.1171875,-721.19140625,0
-1000.0,-294.921875,157.2265625,698.73046875,0
-113.28125,-592.28515625,107.421875,566.89453125,0
-771.484375,-399.4140625,-791.9921875,-864.2578125,0
243.1640625,-93.75,-884.27734375,-964.84375,0
-1000.0,-214.84375,-47.36328125,381.8359375,0
-249.51171875,-565.91796875,220.21484375,799.31640625,0
-784.66796875,-455.56640625,-591.796875,-533.69140625,0
363.76953125,-135.25390625,-969.7265625,-1000.0,0
-1000.0,-138.18359375,-242.1875,0.0,0
-637.20703125,-515.13671875,346.6796875,-961.9140625,0
976.07421875,-552.734375,-293.45703125,-63.4765625,0
795.8984375,-194.3359375,-988.76953125,-1000.0,0
-753.41796875,-110.83984375,-409.66796875,-276.85546875,0
-1000.0,-438.96484375,313.4765625,939.94140625,0
249.0234375,-566.89453125,-131.34765625,153.3203125,0
-778.3203125,-286.1328125,-904.78515625,-1000.0,0
-44.921875,-61.03515625,-728.515625,-838.37890625,0
-1000.0,-232.91015625,57.6171875,466.30859375,0
-183.10546875,-551.7578125,101.5625,565.4296875,0
-781.73828125,-395.5078125,-720.703125,-815.4296875,0
265.625,-89.35546875,-865.72265625,-1000.0,0
-1000.0,-167.96875,-62.5,193.84765625,0
-302.734375,-550.29296875,250.9765625,805.6640625,0
-805.6640625,-477.05078125,-460.9375,-438.96484375,0
487.79296875,-149.90234375,-885.7421875,-1000.0,0
-1000.0,-85.9375,-379.39453125,-424.8046875,0
-705.56640625,-391.6015625,193.359375,675.29296875,0
861.81640625,-527.83203125,-277.34375,-74.70703125,0
-991.69921875,-265.13671875,-979.98046875,-1000.0,0
-459.47265625,-102.5390625,-627.44140625,-673.828125,0
-1000.0,-315.91796875,168.9453125,638.18359375,0
140.13671875,-557.12890625,-20.99609375,307.6171875,0
-752.9296875,-345.703125,-837.890625,-1000.0,0
121.09375,-108.3984375,-753.90625,-872.0703125,0
-1000.0,-249.51171875,55.17578125,424.8046875,0
-219.7265625,-589.35546875,250.9765625,733.3984375,0
-777.83203125,-491.2109375,-599.12109375,-633.7890625,0
275.87890625,-161.62109375,-960.9375,-1000.0,0
-1000.0,-172.36328125,-185.05859375,49.31640625,0
-350.09765625,-552.734375,263.671875,878.41796875,0
-839.35546875,-537.109375,-467.28515625,-354.00390625,0
633.7890625,-204.1015625,-1000.0,-1000.0,0
-961.42578125,-140.625,-404.78515625,-325.1953125,0
-813.96484375,-478.02734375,272.4609375,925.29296875,0
725.5859375,-611.81640625,-159.1796875,143.06640625,0
-869.62890625,-295.8984375,-925.78125,-1000.0,0
-254.39453125,-123.046875,-555.17578125,-460.44921875,0
-1000.0,-421.875,324.70703125,-972.65625,0
60.546875,-644.53125,26.3671875,407.2265625,0
-745.1171875,-377.9296875,-850.09765625,-953.61328125,0
201.171875,-112.3046875,-827.63671875,-939.453125,0
-1000.0,-226.07421875,-38.0859375,298.828125,0
-232.421875,-587.890625,142.08984375,731.93359375,0
-775.87890625,-480.95703125,-642.578125,-595.21484375,0
333.984375,-146.484375,-944.3359375,-1000.0,0
-1000.0,-155.2734375,-248.53515625,-91.796875,0
-447.75390625,-539.0625,271.97265625,954.1015625,0
-894.53125,-590.8203125,-320.3125,-58.10546875,0
738.28125,-208.49609375,-883.7890625,-1000.0,0
-831.0546875,-91.30859375,-430.17578125,-444.3359375,0
-963.37890625,-438.4765625,195.80078125,837.40234375,0
518.06640625,-609.375,-127.44140625,192.3828125,0
-807.12890625,-333.49609375,-905.2734375,-1000.0,0
-125.0,-112.3046875,-731.4453125,-755.859375,0
-1000.0,-321.2890625,87.890625,638.18359375,0
-69.3359375,-631.34765625,82.03125,599.12109375,0
-758.30078125,-429.6875,-749.0234375,-854.4921875,0
243.65234375,-122.0703125,-881.34765625,-969.7265625,0
-1000.0,-225.09765625,-45.8984375,317.3828125,0
-240.72265625,-621.58203125,340.8203125,-939.453125,0
-779.296875,-579.1015625,-415.0390625,-163.57421875,0
397.94921875,-193.359375,-959.47265625,-1000.0,0
-1000.0,-141.11328125,-306.15234375,-100.5859375,0
-560.05859375,-518.06640625,273.92578125,967.7734375,0
-978.02734375,-565.91796875,-341.796875,-107.91015625,0
869.62890625,-228.515625,-1000.0,-1000.0,0
-661.62109375,-117.67578125,-523.4375,-393.5546875,0
-1000.0,-442.87109375,274.4140625,993.65234375,0
336.42578125,-617.67578125,-93.26171875,276.3671875,0
-769.53125,-317.87109375,-935.546875,-1000.0,0
-3.90625,-99.12109375,-732.91015625,-687.01171875,0
-1000.0,-306.15234375,213.8671875,736.328125,0
-162.59765625,-610.3515625,170.8984375,621.58203125,0
-771.484375,-424.31640625,-769.04296875,-823.73046875,0
259.765625,-122.55859375,-895.01953125,-937.98828125,0
-1000.0,-217.7734375,-105.95703125,293.45703125,0
-277.34375,-561.5234375,200.68359375,779.78515625,0
-796.38671875,-490.234375,-552.24609375,-416.015625,0
496.58203125,-160.64453125,-980.46875,-1000.0,0
-1000.0,-132.32421875,-348.6328125,-160.64453125,0
-698.73046875,-498.53515625,248.53515625,944.82421875,0
874.0234375,-567.87109375,-273.4375,-67.3828125,0
-997.0703125,-218.26171875,-907.2265625,-1000.0,0
-467.7734375,-91.796875,-495.60546875,-476.07421875,0
-1000.0,-412.59765625,202.63671875,875.48828125,0
157.71484375,-617.67578125,-57.6171875,361.81640625,0
-750.0,-330.078125,-850.09765625,-1000.0,0
138.671875,-84.9609375,-770.99609375,-832.51953125,0
-1000.0,-277.34375,17.08984375,524.4140625,0
-217.7734375,-612.3046875,138.18359375,713.37890625,0
-775.87890625,-455.078125,-663.57421875,-642.08984375,0
276.3671875,-132.8125,-930.6640625,-1000.0,0
-1000.0,-183.10546875,-201.66015625,104.00390625,0
-365.234375,-568.84765625,252.44140625,988.28125,0
-841.796875,-557.6171875,-396.484375,-165.0390625,0
617.1875,-186.5234375,-942.3828125,-1000.0,0
-956.54296875,-110.83984375,-375.9765625,-291.015625,0
-873.53515625,-477.5390625,316.89453125,-887.20703125,0
645.99609375,-646.97265625,-58.10546875,376.46484375,0
-870.1171875,-335.9375,-879.8828125,-1000.0,0
-269.53125,-98.14453125,-686.03515625,-672.36328125,0
-1000.0,-332.03125,162.109375,755.37109375,0
22.94921875,-584.47265625,18.06640625,437.5,0
-751.46484375,-365.234375,-845.21484375,-971.19140625,0
205.078125,-99.12109375,-859.86328125,-901.85546875,0
-1000.0,-245.60546875,-8.7890625,429.6875,0
-230.95703125,-595.21484375,240.234375,815.4296875,0
-776.85546875,-470.21484375,-567.87109375,-506.8359375,0
318.84765625,-134.27734375,-965.8203125,-1000.0,0
-1000.0,-171.38671875,-173.828125,99.609375,0
-472.65625,-559.5703125,382.32421875,-973.6328125,0
-910.64453125,-535.15625,-387.20703125,-221.6796875,0
750.48828125,-180.6640625,-1000.0,-1000.0,0
-821.77734375,-123.53515625,-460.44921875,-323.73046875,0
-976.07421875,-472.65625,241.69921875,989.2578125,0
501.953125,-603.515625,-171.875,186.03515625,0
-810.546875,-278.80859375,-937.98828125,-1000.0,0
-135.7421875,-92.28515625,-690.4296875,-661.1328125,0
-1000.0,-334.9609375,152.83203125,762.20703125,0
-83.0078125,-645.5078125,113.76953125,651.3671875,0
-762.20703125,-417.96875,-766.6015625,-835.44921875,0
240.234375,-95.21484375,-789.55078125,-844.23828125,0
-1000.0,-260.7421875,6.8359375,492.1875,0
-236.81640625,-617.67578125,172.8515625,824.70703125,0
-779.296875,-487.79296875,-582.03125,-465.8203125,0
414.0625,-140.13671875,-981.93359375,-1000.0,0
-1000.0,-133.30078125,-307.6171875,-63.4765625,0
-554.19921875,-518.06640625,276.85546875,-954.58984375,0
-975.09765625,-581.54296875,-317.87109375,-45.8984375,0
882.8125,-220.703125,-994.140625,-1000.0,0
-639.6484375,-122.0703125,-502.9296875,-320.80078125,0
-1000.0,-441.40625,277.83203125,-966.796875,0
328.125,-635.25390625,15.13671875,545.8984375,0
-766.11328125,-368.65234375,-782.2265625,-832.51953125,0
14.6484375,-94.23828125,-766.11328125,-783.203125,0
-1000.0,-299.8046875,50.29296875,664.55078125,0
