Channel 1,Channel 2,Channel 3,Channel 4,Class,Row Number,Session,Subject
-1000.0,104.00390625,-290.0390625,-1000.0,0,0,6,Shawn
-236.328125,-140.13671875,-53.22265625,-98.6328125,0,1,6,Shawn
-776.3671875,-738.28125,-388.18359375,543.9453125,0,2,6,Shawn
361.81640625,-581.54296875,-712.40234375,-434.5703125,0,3,6,Shawn
-1000.0,18.06640625,-423.33984375,-1000.0,0,4,6,Shawn
-513.671875,-19.53125,19.53125,-249.0234375,0,5,6,Shawn
-937.01171875,-687.98828125,-168.45703125,805.17578125,0,6,6,Shawn
801.26953125,-754.8828125,-573.73046875,11.71875,0,7,6,Shawn
-767.08984375,-141.11328125,-433.10546875,-982.91015625,0,8,6,Shawn
-1000.0,95.21484375,-106.93359375,-743.65234375,0,9,6,Shawn
451.66015625,-449.21875,-148.4375,548.828125,0,10,6,Shawn
-781.73828125,-821.2890625,-564.94140625,332.51953125,0,11,6,Shawn
-45.41015625,-305.17578125,-642.08984375,-950.68359375,0,12,6,Shawn
-1000.0,130.859375,-219.23828125,-966.30859375,0,13,6,Shawn
-110.83984375,-274.90234375,-59.5703125,300.78125,0,14,6,Shawn
-760.7421875,-842.28515625,-424.31640625,666.015625,0,15,6,Shawn
251.953125,-500.0,-718.26171875,-662.59765625,0,16,6,Shawn
-1000.0,88.37890625,-334.9609375,-1000.0,0,17,6,Shawn
-243.1640625,-121.58203125,36.62109375,61.03515625,0,18,6,Shawn
-782.71484375,-807.12890625,-169.921875,990.72265625,0,19,6,Shawn
465.8203125,-694.3359375,-637.20703125,-196.77734375,0,20,6,Shawn
-1000.0,-18.5546875,-519.53125,-1000.0,0,21,6,Shawn
-632.8125,37.109375,-53.22265625,-404.78515625,0,22,6,Shawn
957.03125,-624.0234375,-176.7578125,810.546875,0,23,6,Shawn
938.96484375,-769.04296875,-674.31640625,12.6953125,0,24,6,Shawn
-563.4765625,-146.484375,-631.34765625,-1000.0,0,25,6,Shawn
-1000.0,104.00390625,-111.81640625,-675.78125,0,26,6,Shawn
240.72265625,-440.91796875,-49.31640625,604.98046875,0,27,6,Shawn
-760.25390625,-839.35546875,-526.85546875,448.73046875,0,28,6,Shawn
35.15625,-319.3359375,-669.43359375,-914.0625,0,29,6,Shawn
-1000.0,140.625,-124.51171875,-762.6953125,0,30,6,Shawn
-194.82421875,-306.15234375,116.2109375,583.984375,0,31,6,Shawn
-777.34375,-842.7734375,-407.2265625,645.01953125,0,32,6,Shawn
264.6484375,-479.98046875,-750.9765625,-594.23828125,0,33,6,Shawn
-1000.0,99.609375,-375.48828125,-1000.0,0,34,6,Shawn
-298.33984375,-41.50390625,-49.31640625,-195.3125,0,35,6,Shawn
-808.59375,-719.23828125,-311.03515625,793.45703125,0,36,6,Shawn
558.10546875,-657.71484375,-706.54296875,-214.35546875,0,37,6,Shawn
-1000.0,-7.32421875,-511.23046875,-1000.0,0,38,6,Shawn
-728.515625,55.6640625,-54.19921875,-470.21484375,0,39,6,Shawn
842.7734375,-581.0546875,-162.109375,769.53125,0,40,6,Shawn
-954.58984375,-813.96484375,-574.21875,315.4296875,0,41,6,Shawn
-403.80859375,-210.44921875,-476.07421875,-894.04296875,0,42,6,Shawn
-1000.0,148.92578125,-105.46875,-840.33203125,0,43,6,Shawn
140.13671875,-361.328125,-131.8359375,434.08203125,0,44,6,Shawn
-747.0703125,-837.40234375,-505.37109375,587.890625,0,45,6,Shawn
156.25,-401.3671875,-656.73828125,-687.98828125,0,46,6,Shawn
-1000.0,129.39453125,-288.57421875,-1000.0,0,47,6,Shawn
-224.609375,-168.45703125,-67.87109375,106.93359375,0,48,6,Shawn
-775.87890625,-809.08203125,-358.3984375,819.82421875,0,49,6,Shawn
279.78515625,-579.1015625,-672.8515625,-371.09375,0,50,6,Shawn
-1000.0,52.734375,-417.48046875,-1000.0,0,51,6,Shawn
-369.62890625,3.41796875,-83.984375,-342.7734375,0,52,6,Shawn
-850.09765625,-673.828125,-183.59375,994.140625,0,53,6,Shawn
661.1328125,-770.5078125,-532.71484375,196.77734375,0,54,6,Shawn
