Channel 1,Channel 2,Channel 3,Channel 4,Class,Row Number,Session,Subject
2.9296875,-671.875,-487.3046875,-95.21484375,0,0,6,Shawn
-1000.0,373.046875,-379.8828125,-774.90234375,0,1,6,Shawn
-206.0546875,114.74609375,-372.55859375,224.609375,0,2,6,Shawn
-783.69140625,-935.546875,-446.77734375,-1000.0,0,3,6,Shawn
268.06640625,-890.625,-462.40234375,-246.58203125,0,4,6,Shawn
-1000.0,144.53125,-385.25390625,-785.15625,0,5,6,Shawn
-302.24609375,388.18359375,-292.96875,344.7265625,0,6,6,Shawn
-805.6640625,-663.57421875,-409.1796875,-1000.0,0,7,6,Shawn
512.6953125,-1000.0,-424.8046875,-582.03125,0,8,6,Shawn
-1000.0,-152.34375,-362.79296875,-977.5390625,0,9,6,Shawn
-743.1640625,465.8203125,-376.46484375,764.16015625,0,10,6,Shawn
833.984375,-406.25,-401.85546875,-776.3671875,0,11,6,Shawn
-973.14453125,-1000.0,-493.1640625,-1000.0,0,12,6,Shawn
-446.77734375,-486.81640625,-519.53125,272.94921875,0,13,6,Shawn
-1000.0,463.37890625,-403.80859375,-793.9453125,0,14,6,Shawn
122.55859375,-113.76953125,-353.515625,-98.6328125,0,15,6,Shawn
-749.51171875,-1000.0,-453.61328125,-1000.0,0,16,6,Shawn
121.09375,-733.88671875,-472.16796875,-166.015625,0,17,6,Shawn
-1000.0,336.42578125,-351.5625,-782.71484375,0,18,6,Shawn
-218.75,224.609375,-268.5546875,265.13671875,0,19,6,Shawn
-780.76171875,-850.09765625,-324.21875,-1000.0,0,20,6,Shawn
270.99609375,-939.453125,-488.76953125,-319.3359375,0,21,6,Shawn
-1000.0,47.36328125,-486.328125,-810.546875,0,22,6,Shawn
-406.73828125,403.80859375,-348.6328125,439.453125,0,23,6,Shawn
-854.98046875,-590.8203125,-405.2734375,-1000.0,0,24,6,Shawn
618.65234375,-1000.0,-545.8984375,-753.41796875,0,25,6,Shawn
-972.65625,-260.25390625,-517.08984375,833.49609375,0,26,6,Shawn
-882.32421875,484.86328125,-349.609375,916.50390625,0,27,6,Shawn
634.765625,-327.63671875,-367.67578125,-609.375,0,28,6,Shawn
-849.12109375,-1000.0,-476.07421875,-1000.0,0,29,6,Shawn
-247.0703125,-547.8515625,-462.40234375,146.484375,0,30,6,Shawn
-1000.0,491.2109375,-262.6953125,-770.01953125,0,31,6,Shawn
-2.44140625,-0.48828125,-244.140625,28.80859375,0,32,6,Shawn
-751.46484375,-1000.0,-464.84375,-1000.0,0,33,6,Shawn
236.328125,-796.38671875,-494.140625,-207.51953125,0,34,6,Shawn
-1000.0,262.20703125,-405.76171875,-786.62109375,0,35,6,Shawn
-233.88671875,252.44140625,-366.69921875,271.484375,0,36,6,Shawn
-776.3671875,-814.94140625,-475.09765625,-1000.0,0,37,6,Shawn
308.10546875,-967.7734375,-513.671875,-398.92578125,0,38,6,Shawn
