Channel 1,Channel 2,Channel 3,Channel 4,Timestamp
38241.61,-14399.051,35884.69,36607.44,1.0
88267.85,-33865.848,82832.47,84495.74,2.0
55319.67,-21368.08,51927.566,52955.105,3.0
23419.412,-6859.4287,22004.94,22418.258,4.0
19097.496,-5342.5894,17955.094,18281.86,5.0
-23259.6,7323.6587,-21791.838,-22265.193,6.0
-24009.893,7877.753,-22501.39,-22983.957,7.0
-16314.311,7173.1494,-15282.027,-15617.089,8.0
-36224.88,14532.445,-33967.008,-34676.39,9.0
-42140.508,15087.028,-39525.523,-40339.242,10.0
-45469.523,15843.712,-42658.06,-43526.395,11.0
-33673.355,12960.991,-31595.164,-32234.416,12.0
-32284.574,12859.851,-30296.014,-30904.623,13.0
-42310.215,15420.387,-39709.77,-40501.75,14.0
-35338.785,12442.36,-33175.84,-33828.594,15.0
-24756.934,9218.345,-23251.252,-23699.111,16.0
-18943.553,7469.018,-17799.016,-18134.102,17.0
-21633.705,7943.1353,-20326.463,-20709.307,18.0
-19203.447,6683.776,-18049.727,-18382.89,19.0
-6919.343,2457.5977,-6525.23,-6623.7275,20.0
-1087.779,536.03265,-1053.2772,-1041.3718,21.0
-2022.7831,737.1196,-1930.3525,-1936.394,22.0
-489.5649,55.80228,-491.78934,-468.67615,23.0
7431.0195,-2822.8755,6941.0093,7113.4917,24.0
13573.514,-5108.9556,12706.49,12993.381,25.0
12411.127,-4638.3413,11618.174,11880.569,26.0
12128.622,-4352.143,11355.695,11610.283,27.0
16718.047,-6127.9536,15664.647,16003.598,28.0
20640.244,-7925.1577,19347.68,19758.088,29.0
19620.379,-7481.829,18394.082,18781.762,30.0
17632.668,-6274.54,16532.668,16879.02,31.0
19234.346,-6882.0825,18038.895,18412.34,32.0
21131.178,-8086.3335,19821.64,20228.154,33.0
19662.557,-7560.94,18446.701,18822.281,34.0
17048.182,-6027.5913,15997.166,16319.626,35.0
16454.37,-5710.857,15443.227,15751.289,36.0
16647.512,-6413.4697,15626.6455,15936.212,37.0
14965.321,-5981.4746,14050.058,14325.756,38.0
12298.358,-4343.9917,11550.118,11772.669,39.0
10691.62,-3448.8599,10044.971,10234.628,40.0
9710.551,-3673.8875,9125.562,9295.555,41.0
8025.5347,-3428.6497,7545.014,7682.497,42.0
5871.807,-2109.3525,5525.4473,5620.7007,43.0
4125.6445,-1038.257,3888.498,3949.2625,44.0
2646.349,-1008.56134,2500.6714,2533.3254,45.0
1109.0762,-975.72833,1057.3899,1061.562,46.0
-245.49564,-22.872929,-213.82968,-235.31183,47.0
-1487.1917,1042.3391,-1378.4082,-1423.7932,48.0
-2948.8115,1229.9656,-2750.3154,-2822.8242,49.0
-4225.403,1104.2421,-3949.7559,-4044.9543,50.0
-4762.4937,1587.3484,-4454.8364,-4559.3066,51.0
-5179.2305,2385.184,-4845.9927,-4958.294,52.0
-6268.0884,2613.533,-5868.3945,-6000.4697,53.0
-7270.695,2304.9473,-6811.1304,-6960.1973,54.0
-7148.138,2366.4124,-6697.765,-6842.8765,55.0
-6710.0215,2891.462,-6287.2783,-6423.338,56.0
-7256.3506,3063.4302,-6800.7134,-6946.1826,57.0
-8028.4307,2702.1677,-7526.9907,-7685.2983,58.0
-7513.817,2454.8887,-7045.9653,-7192.759,59.0
-6389.081,2637.7998,-5991.45,-6116.0557,60.0
-6381.2075,2741.744,-5984.7397,-6108.3374,61.0
-6994.233,2408.7798,-6561.3525,-6695.045,62.0
-6374.3394,2015.8341,-5981.161,-6101.785,63.0
-4840.922,1923.6816,-4542.9927,-4633.9497,64.0
-4371.4097,1935.5903,-4102.7163,-4184.355,65.0
-4895.5645,1700.381,-4595.3315,-4686.061,66.0
-4410.6323,1286.5898,-4141.4434,-4221.884,67.0
-2767.0947,1041.4519,-2599.7131,-2648.6218,68.0
-1981.8649,1018.7543,-1862.7533,-1896.94,69.0
-2464.4304,884.44434,-2315.9705,-2358.838,70.0
-2269.4949,495.74185,-2133.8118,-2172.2507,71.0
-770.3035,174.93988,-727.32935,-737.1676,72.0
175.61667,154.996,160.32872,168.2819,73.0
-282.37204,181.85379,-269.37466,-270.05646,74.0
-435.3982,-53.545673,-413.04785,-416.4298,75.0
746.0011,-360.0916,695.4728,714.3984,76.0
1718.4667,-382.56186,1608.3182,1645.2965,77.0
1295.0365,-287.76,1211.4393,1240.0251,78.0
821.96027,-437.47647,767.57324,787.0889,79.0
1603.6099,-685.30237,1501.1534,1535.2784,80.0
2504.9712,-751.8398,2347.5466,2398.0884,81.0
2142.7424,-688.53815,2008.0831,2051.3333,82.0
1437.3557,-670.70667,1346.2506,1376.1519,83.0
1819.8291,-805.56976,1705.2628,1742.1515,84.0
2592.1714,-904.97614,2430.412,2481.3293,85.0
2321.2034,-787.4508,2176.6526,2222.0066,86.0
1500.2498,-671.8291,1406.4396,1436.0496,87.0
1543.7997,-724.00195,1447.475,1477.5333,88.0
2163.5598,-793.6957,2029.5134,2070.8137,89.0
2006.1617,-684.8799,1882.1034,1920.2053,90.0
1185.9852,-490.58813,1112.6493,1134.9852,91.0
984.5666,-479.1536,923.89594,942.0369,92.0
1453.8759,-551.0477,1364.4956,1391.3962,93.0
1417.1244,-437.2948,1330.1821,1356.3518,94.0
692.21136,-212.43204,650.1532,662.3302,95.0
348.65552,-135.53818,328.06433,333.34015,96.0
685.2033,-222.7111,644.0126,655.4925,97.0
759.45544,-195.64337,713.7116,726.6041,98.0
190.55289,-22.136337,179.97337,181.95659,99.0
-202.62894,22.559788,-188.96179,-194.40717,100.0
25.686981,-66.88625,25.189976,24.231895,101.0
186.54364,-58.248585,176.04729,178.18742,102.0
-202.61497,99.928024,-189.11566,-194.21443,103.0
-574.80914,206.0388,-538.41046,-550.36664,104.0
-428.8181,146.06293,-401.56854,-410.66666,105.0
-214.66473,106.03398,-200.63905,-205.63199,106.0
