Channel 1,Channel 2,Channel 3,Channel 4,Class,Row Number,Session,Subject
-816.89453125,-702.1484375,167.96875,991.2109375,0,0,6,Shawn
-235.3515625,-404.78515625,-488.28125,-473.14453125,0,1,6,Shawn
163.0859375,-91.796875,-991.69921875,-1000.0,0,2,6,Shawn
-301.26953125,-333.0078125,-448.73046875,59.5703125,0,3,6,Shawn
-830.56640625,-689.94140625,179.19921875,-780.76171875,0,4,6,Shawn
-544.921875,-490.234375,-211.42578125,105.95703125,0,5,6,Shawn
-75.1953125,-93.26171875,-865.234375,-1000.0,0,6,6,Shawn
-399.90234375,-207.03125,-532.2265625,-189.453125,0,7,6,Shawn
-805.6640625,-638.18359375,129.8828125,-777.34375,0,8,6,Shawn
-571.77734375,-598.6328125,-75.68359375,305.6640625,0,9,6,Shawn
-8.7890625,-194.3359375,-817.3828125,-1000.0,0,10,6,Shawn
72.75390625,-156.25,-855.46875,-533.203125,0,11,6,Shawn
-507.32421875,-541.015625,-113.76953125,-951.66015625,0,12,6,Shawn
-730.95703125,-668.9453125,88.8671875,630.37109375,0,13,6,Shawn
-187.98828125,-296.38671875,-612.79296875,-906.25,0,14,6,Shawn
145.99609375,-95.21484375,-952.1484375,-969.7265625,0,15,6,Shawn
-338.8671875,-415.52734375,-316.40625,453.125,0,16,6,Shawn
-892.08984375,-687.01171875,202.1484375,-883.30078125,0,17,6,Shawn
-675.78125,-380.37109375,-262.20703125,-239.2578125,0,18,6,Shawn
-114.74609375,-59.08203125,-860.3515625,-1000.0,0,19,6,Shawn
-219.7265625,-312.01171875,-507.8125,-59.5703125,0,20,6,Shawn
-823.2421875,-679.6875,163.0859375,-772.4609375,0,21,6,Shawn
-574.21875,-519.04296875,-169.43359375,195.3125,0,22,6,Shawn
121.09375,-144.53125,-926.26953125,-1000.0,0,23,6,Shawn
40.52734375,-230.95703125,-764.6484375,-283.69140625,0,24,6,Shawn
-716.796875,-608.3984375,44.921875,-802.24609375,0,25,6,Shawn
-761.71875,-593.75,27.34375,356.93359375,0,26,6,Shawn
-7.8125,-223.14453125,-773.4375,-1000.0,0,27,6,Shawn
136.71875,-146.484375,-909.1796875,-634.765625,0,28,6,Shawn
-595.21484375,-476.5625,-99.609375,937.5,0,29,6,Shawn
-999.51171875,-620.60546875,284.66796875,775.390625,0,30,6,Shawn
-340.8203125,-318.359375,-485.83984375,-744.140625,0,31,6,Shawn
218.26171875,-107.91015625,-1000.0,-1000.0,0,32,6,Shawn
-332.03125,-379.8828125,-368.1640625,291.015625,0,33,6,Shawn
-869.62890625,-687.98828125,191.40625,-886.71875,0,34,6,Shawn
-434.08203125,-437.5,-331.54296875,-222.16796875,0,35,6,Shawn
146.484375,-98.6328125,-975.5859375,-1000.0,0,36,6,Shawn
-167.96875,-293.9453125,-574.70703125,-122.55859375,0,37,6,Shawn
-805.17578125,-669.43359375,143.06640625,-780.2734375,0,38,6,Shawn
-531.25,-550.29296875,-154.78515625,221.6796875,0,39,6,Shawn
