Channel 1,Channel 2,Channel 3,Channel 4,Class,Timestamp
12070.634,-12232.208,-8708.196,-9115.576,11.0,1.0
27929.99,-28242.494,-20103.836,-21044.992,0.0,2.0
17827.191,-17721.486,-12615.363,-13200.753,0.0,3.0
7899.5376,-7512.1357,-5352.4546,-5590.456,0.0,4.0
5993.594,-6104.8765,-4342.2817,-4540.427,0.0,5.0
-7761.43,7433.4717,5302.47,5550.4165,0.0,6.0
-7619.8755,7647.149,5448.795,5706.894,0.0,7.0
-4973.7964,5199.4634,3707.764,3882.1365,0.0,8.0
-11577.9375,11591.922,8246.616,8649.581,0.0,9.0
-13702.963,13474.61,9567.939,10047.784,0.0,10.0
-14555.321,14532.815,10335.597,10830.05,0.0,11.0
-10566.557,10774.043,7670.308,8026.6943,0.0,12.0
-10263.376,10340.184,7358.3545,7700.1504,0.0,13.0
-13603.81,13555.464,9658.177,10098.014,0.0,14.0
-11292.273,11319.968,8058.4077,8430.4375,0.0,15.0
-7781.5405,7921.8677,5631.381,5893.029,0.0,16.0
-5954.685,6071.227,4329.6777,4517.546,0.0,17.0
-6904.705,6937.6543,4947.987,5165.455,0.0,18.0
-6107.2227,6155.2026,4386.7017,4581.196,0.0,19.0
-2132.6125,2223.1208,1585.3058,1649.2814,0.0,20.0
-280.5474,354.5065,249.39992,253.07224,0.0,21.0
-595.29175,667.2339,476.1368,489.15942,0.0,22.0
-103.776115,191.29045,142.20076,137.20146,0.0,23.0
2408.2188,-2347.161,-1662.106,-1755.5896,0.0,24.0
4353.6685,-4324.9624,-3075.8857,-3228.538,0.0,25.0
3997.382,-3970.6826,-2846.3933,-2970.8767,0.0,26.0
3907.2222,-3881.4443,-2782.1494,-2905.1626,0.0,27.0
5318.669,-5338.548,-3801.505,-3983.2246,0.0,28.0
6541.3735,-6595.8555,-4694.924,-4923.1357,0.0,29.0
6277.0015,-6280.0938,-4462.753,-4690.4272,0.0,30.0
5673.83,-5644.07,-4009.4683,-4212.117,0.0,31.0
6090.058,-6152.539,-4386.3413,-4588.3086,0.0,32.0
6625.867,-6766.876,-4822.204,-5044.9004,0.0,33.0
6245.4517,-6294.7173,-4475.7603,-4686.7144,0.0,34.0
5481.1377,-5459.998,-3881.7483,-4059.7363,0.0,35.0
5195.7803,-5274.2476,-3751.658,-3923.589,0.0,36.0
5168.81,-5323.178,-3784.1953,-3957.3457,0.0,37.0
4707.349,-4789.549,-3398.542,-3559.7754,0.0,38.0
3956.5068,-3939.4773,-2790.257,-2931.203,0.0,39.0
3375.1423,-3411.7395,-2429.3113,-2537.1028,0.0,40.0
2943.388,-3097.4946,-2214.2441,-2301.095,0.0,41.0
2462.3403,-2570.7185,-1823.5192,-1908.7726,0.0,42.0
1904.3905,-1883.113,-1331.4663,-1399.6741,0.0,43.0
1310.9464,-1314.7073,-936.3959,-977.5312,0.0,44.0
704.9785,-847.16064,-605.2897,-629.546,0.0,45.0
232.99937,-368.03653,-274.44962,-277.28156,0.0,46.0
-61.530563,56.7026,23.487955,38.444332,0.0,47.0
-449.86472,454.37692,321.67798,338.68356,0.0,48.0
-1032.04,936.9194,674.13025,701.7127,0.0,49.0
-1446.4391,1343.0018,955.3347,1005.01086,0.0,50.0
-1489.8724,1502.3977,1059.0743,1121.6968,0.0,51.0
-1582.3624,1643.6332,1169.6741,1228.2775,0.0,52.0
-2043.658,1996.5964,1425.1309,1488.8582,0.0,53.0
-2404.626,2320.561,1634.0607,1724.7986,0.0,54.0
-2237.3699,2294.4224,1616.6597,1708.1307,0.0,55.0
-2036.1573,2148.8447,1519.8274,1596.6615,0.0,56.0
-2309.0708,2316.1787,1636.7734,1716.0577,0.0,57.0
-2600.4326,2569.7327,1835.4033,1912.6702,0.0,58.0
-2338.6482,2404.6335,1717.2389,1796.397,0.0,59.0
-1906.4468,2038.3491,1455.4902,1525.378,0.0,60.0
-1975.5448,2027.443,1460.5078,1520.2915,0.0,61.0
-2252.1196,2217.602,1587.4474,1664.9066,0.0,62.0
-1995.695,2018.0658,1441.3059,1516.0122,0.0,63.0
-1422.4751,1539.2911,1101.8735,1154.2781,0.0,64.0
-1311.8129,1413.059,1008.8492,1058.4531,0.0,65.0
-1562.6406,1583.3663,1129.4265,1183.3418,0.0,66.0
-1380.854,1426.6012,1021.291,1061.409,0.0,67.0
-775.32465,915.1642,660.26984,680.6912,0.0,68.0
-550.69995,665.3861,480.30887,494.7458,0.0,69.0
-786.532,811.794,587.2406,603.1803,0.0,70.0
-721.7332,740.6292,532.37305,551.0202,0.0,71.0
-176.40697,259.64047,185.20956,195.17441,0.0,72.0
123.98347,-37.772892,-27.350061,-23.15825,0.0,73.0
-108.71031,88.921074,56.289467,62.68365,0.0,74.0
-181.01077,114.540375,77.1818,73.90455,0.0,75.0
257.02002,-262.08173,-193.73138,-205.20044,0.0,76.0
584.6465,-566.69366,-420.5311,-429.8508,0.0,77.0
406.88416,-419.64346,-317.63718,-313.753,0.0,78.0
223.84943,-264.00964,-207.31674,-202.61569,0.0,79.0
487.63724,-526.6665,-386.00882,-406.85132,0.0,80.0
791.87317,-814.92755,-576.7773,-618.6319,0.0,81.0
643.2033,-685.73083,-476.62167,-522.76874,0.0,82.0
395.00317,-450.65854,-312.4902,-342.44934,0.0,83.0
550.56274,-574.10394,-414.80374,-427.0575,0.0,84.0
830.39026,-828.0554,-596.68567,-615.84607,0.0,85.0
731.0146,-745.9624,-526.533,-549.8727,0.0,86.0
448.28683,-482.39517,-339.41956,-348.15344,0.0,87.0
493.74457,-490.15308,-331.95923,-349.61182,0.0,88.0
730.07996,-688.00085,-463.60138,-497.91348,0.0,89.0
662.46246,-635.0501,-464.1798,-464.1317,0.0,90.0
382.82837,-362.91513,-271.62863,-257.15637,0.0,91.0
336.3277,-301.96307,-196.52841,-211.4785,0.0,92.0
507.69354,-459.3704,-319.9116,-338.90283,0.0,93.0
503.29965,-436.7952,-302.00772,-323.0896,0.0,94.0
249.60176,-200.91345,-130.08076,-148.07822,0.0,95.0
121.287476,-106.33007,-73.96519,-83.64315,0.0,96.0
240.44193,-221.25658,-155.95442,-170.71326,0.0,97.0
258.22195,-248.59172,-186.55899,-193.26025,0.0,98.0
46.871906,-76.616615,-65.41894,-67.77701,0.0,99.0
-89.90338,51.1579,28.534487,29.816826,0.0,100.0
-9.034441,-21.508469,-31.452898,-22.260778,0.0,101.0
43.65926,-85.66252,-61.846504,-71.16156,0.0,102.0
-88.07649,46.093803,49.515568,29.830702,0.0,103.0
-217.8863,181.95201,123.38549,133.92868,0.0,104.0
-173.14134,131.45988,69.79257,94.257324,0.0,105.0
-99.58617,53.05101,28.128931,33.432617,0.0,106.0
-177.26848,120.773575,77.25598,82.466286,0.0,107.0
-275.85715,224.6485,154.24146,163.84018,0.0,108.0
-234.14995,200.26102,147.05104,151.93613,0.0,109.0
-151.89467,126.34806,91.459564,97.536674,0.0,110.0
-167.87254,161.73029,129.53882,123.6642,0.0,111.0
-237.88065,237.95125,191.91121,180.8595,0.0,112.0
-229.00787,217.93582,156.93208,165.60513,0.0,113.0
-155.81271,149.47409,91.97419,115.97336,0.0,114.0
-147.10812,139.26028,91.89129,109.491776,0.0,115.0
-190.38458,184.60588,136.89957,144.84613,0.0,116.0
-175.72787,190.23828,151.85867,151.9297,0.0,117.0
-107.34618,136.93895,125.83351,114.37899,0.0,118.0
-77.55521,117.54511,103.23254,99.33495,0.0,119.0
-97.954285,139.91522,102.71381,112.81773,0.0,120.0
-96.77079,129.4118,94.09258,101.575455,0.0,121.0
-64.20383,73.16712,53.570858,51.685783,0.0,122.0
-45.769016,39.46793,20.84453,21.627687,0.0,123.0
-48.430866,57.63803,27.008474,38.15522,0.0,124.0
-48.633884,60.066162,32.21975,38.396748,0.0,125.0
-32.279945,25.21387,8.035559,12.17447,0.0,126.0
-19.190569,-7.3662558,-16.357826,-9.238182,0.0,127.0
-16.020311,-14.420999,-11.434872,-15.460538,0.0,128.0
-11.048463,-11.488986,-8.349662,-13.426959,0.0,129.0
-7.4223385,-26.924175,-29.67105,-26.018333,0.0,130.0
0.019550752,-41.015877,-40.032707,-38.20929,0.0,131.0
8.638596,-48.95112,-44.024654,-45.760456,0.0,132.0
22.270996,-51.90243,-39.741463,-47.84037,0.0,133.0
37.818676,-40.268726,-20.031252,-34.04239,0.0,134.0
37.371033,-38.188942,-21.518667,-29.768145,0.0,135.0
41.01971,-48.984604,-38.67307,-38.97527,0.0,136.0
53.441097,-62.737904,-49.804413,-48.901108,0.0,137.0
56.48587,-62.57071,-40.564224,-43.855408,0.0,138.0
49.387554,-45.870827,-22.434645,-26.094439,0.0,139.0
48.727844,-50.661526,-24.548729,-30.296959,0.0,140.0
62.725033,-70.257866,-38.129417,-49.221405,0.0,141.0
57.978947,-68.86398,-52.592896,-52.062267,0.0,142.0
38.173534,-46.88626,-41.554745,-34.06642,0.0,143.0
43.27512,-32.67499,-14.217287,-19.86573,0.0,144.0
63.02934,-39.250668,-20.65799,-25.658247,0.0,145.0
66.17005,-33.082226,-31.642006,-20.869358,0.0,146.0
42.256454,-14.548825,-16.861877,-6.919553,0.0,147.0
25.439243,-14.152699,-11.10552,-7.1744227,0.0,148.0
42.972195,-23.9482,-26.142437,-12.469848,0.0,149.0
