Channel 1,Channel 2,Channel 3,Channel 4,Class,Timestamp,Class Description
209.0877,545.1299,200.6851,-161.17769,0.0,1.0,Nothing
1472.6935,3837.5813,1413.4526,-1135.716,0.0,2.0,Nothing
4938.735,12851.858,4740.1455,-3808.2356,0.0,3.0,Nothing
10728.839,27858.75,10298.357,-8270.66,0.0,4.0,Nothing
17286.121,44768.496,16595.361,-13322.231,0.0,5.0,Nothing
22217.604,57401.574,21334.76,-17120.469,0.0,6.0,Nothing
23694.31,61116.953,22759.055,-18257.785,0.0,7.0,Nothing
21452.492,55295.207,20612.46,-16530.492,0.0,8.0,Nothing
16790.86,43272.773,16140.797,-12938.104,0.0,9.0,Nothing
11559.604,29789.146,11120.839,-8906.518,0.0,10.0,Nothing
7074.638,18239.213,6816.3013,-5450.598,0.0,11.0,Nothing
3818.6475,9873.927,3690.5547,-2941.997,0.0,12.0,Nothing
1734.2181,4523.718,1688.9238,-1335.6036,0.0,13.0,Nothing
459.80258,1235.248,465.0864,-352.9331,0.0,14.0,Nothing
-556.2702,-1402.1725,-510.43335,430.35266,0.0,15.0,Nothing
-1775.657,-4554.7163,-1681.3894,1369.9215,0.0,16.0,Nothing
-3275.8237,-8418.856,-3122.519,2525.9883,0.0,17.0,Nothing
-4828.102,-12417.32,-4614.1016,3722.417,0.0,18.0,Nothing
-6231.35,-16036.029,-5962.757,4803.8223,0.0,19.0,Nothing
-7440.1147,-19152.84,-7124.8394,5735.099,0.0,20.0,Nothing
-8431.935,-21708.53,-8078.848,6499.226,0.0,21.0,Nothing
-9156.959,-23579.367,-8776.829,7057.8916,0.0,22.0,Nothing
-9652.251,-24864.236,-9254.211,7439.5117,0.0,23.0,Nothing
-10054.756,-25914.076,-9642.431,7749.567,0.0,24.0,Nothing
-10446.0625,-26933.914,-10019.922,8050.99,0.0,25.0,Nothing
-10782.644,-27808.059,-10345.004,8310.234,0.0,26.0,Nothing
-11011.012,-28401.004,-10566.32,8486.076,0.0,27.0,Nothing
-11153.721,-28775.443,-10705.403,8595.944,0.0,28.0,Nothing
-11241.022,-29007.72,-10791.241,8663.106,0.0,29.0,Nothing
-11245.27,-29020.592,-10797.39,8666.154,0.0,30.0,Nothing
-11138.251,-28743.09,-10696.791,8583.426,0.0,31.0,Nothing
-10952.779,-28269.486,-10520.747,8440.375,0.0,32.0,Nothing
-10736.393,-27724.086,-10314.729,8273.5625,0.0,33.0,Nothing
-10487.389,-27091.916,-10077.252,8081.4565,0.0,34.0,Nothing
-10180.445,-26302.56,-9784.2295,7844.607,0.0,35.0,Nothing
-9821.683,-25381.244,-9441.429,7567.9897,0.0,36.0,Nothing
-9437.331,-24402.074,-9073.78,7271.7744,0.0,37.0,Nothing
-9030.713,-23363.977,-8684.56,6958.235,0.0,38.0,Nothing
-8586.58,-22218.35,-8259.457,6615.6626,0.0,39.0,Nothing
-8105.485,-20974.084,-7799.019,6244.8345,0.0,40.0,Nothing
-7605.6606,-19687.95,-7320.4575,5859.8223,0.0,41.0,Nothing
-7097.4326,-18380.375,-6833.617,5468.2163,0.0,42.0,Nothing
-6576.5063,-17031.041,-6334.5854,5066.6006,0.0,43.0,Nothing
-6039.679,-15639.174,-5820.276,4652.834,0.0,44.0,Nothing
-5492.9854,-14232.611,-5296.1943,4231.6865,0.0,45.0,Nothing
-4944.6895,-12827.295,-4770.237,3809.2136,0.0,46.0,Nothing
-4397.9375,-11417.549,-4245.746,3387.6946,0.0,47.0,Nothing
-3850.7622,-10000.663,-3720.9653,2965.935,0.0,48.0,Nothing
-3301.6084,-8586.032,-3194.1238,2542.9314,0.0,49.0,Nothing
-2755.284,-7185.452,-2669.667,2122.0854,0.0,50.0,Nothing
-2220.4045,-5807.516,-2156.1213,1709.7899,0.0,51.0,Nothing
-1698.7332,-4454.405,-1655.4143,1307.659,0.0,52.0,Nothing
-1183.7833,-3121.0742,-1161.1498,910.96686,0.0,53.0,Nothing
-674.6536,-1808.7157,-672.2325,518.8027,0.0,54.0,Nothing
-181.83237,-534.5999,-198.83652,138.95744,0.0,55.0,Nothing
288.29938,687.60425,252.73239,-223.47794,0.0,56.0,Nothing
743.70074,1867.6613,690.2414,-574.3367,0.0,57.0,Nothing
1190.805,3017.3567,1120.0664,-918.70984,0.0,58.0,Nothing
1620.0503,4122.158,1532.8955,-1249.5259,0.0,59.0,Nothing
2020.9517,5161.913,1918.3981,-1558.5955,0.0,60.0,Nothing
